Complex_Name,Confidence_Score,Protein_Path,Ligand_Path
B2_60_S-Formylglutathione,-4.04,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_60_S-Formylglutathione/rank10_confidence-4.04.sdf
B5_52_Triose phosphate,-4.04,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_52_Triose phosphate/rank10_confidence-4.04.sdf
B3_22_trans-2-Octenal,-4.05,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_22_trans-2-Octenal/rank10_confidence-4.05.sdf
B2_7_glutaraldehyde,-4.07,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_7_glutaraldehyde/rank10_confidence-4.07.sdf
B7_34_4-hydroxy-2-nonenal,-4.07,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_34_4-hydroxy-2-nonenal/rank10_confidence-4.07.sdf
B6_10_4-guanidinobutyraldehyde,-4.07,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_10_4-guanidinobutyraldehyde/rank10_confidence-4.07.sdf
B4_41_Indole-3-acetaldehyde,-4.08,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_41_Indole-3-acetaldehyde/rank10_confidence-4.08.sdf
B2_32_9-cis-Retinal,-4.08,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_32_9-cis-Retinal/rank10_confidence-4.08.sdf
B2_6_amylaldehyde,-4.09,/root/miniproject/DiffDock/proteinPDB/B2.pdb,/root/miniproject/results_batch/B2_6_amylaldehyde/rank10_confidence-4.09.sdf
B4_9_2-hydroxypropionaldehyde,-4.1,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_9_2-hydroxypropionaldehyde/rank10_confidence-4.10.sdf
"B6_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-4.1,/root/miniproject/DiffDock/proteinPDB/B6.pdb,"/root/miniproject/results_batch/B6_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal/rank10_confidence-4.10.sdf"
B1_46_Succinic semialdehyde,-4.11,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_46_Succinic semialdehyde/rank10_confidence-4.11.sdf
B1_47_methylmalonate semialdehyde,-4.12,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_47_methylmalonate semialdehyde/rank10_confidence-4.12.sdf
B6_23_4-Hydroxynonenal,-4.12,/root/miniproject/DiffDock/proteinPDB/B6.pdb,/root/miniproject/results_batch/B6_23_4-Hydroxynonenal/rank10_confidence-4.12.sdf
B4_46_Succinic semialdehyde,-4.12,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_46_Succinic semialdehyde/rank10_confidence-4.12.sdf
B1_32_9-cis-Retinal,-4.13,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_32_9-cis-Retinal/rank10_confidence-4.13.sdf
B4_56_S-hydroxy-methylglutathione,-4.13,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_56_S-hydroxy-methylglutathione/rank10_confidence-4.13.sdf
B7_42_Glutamate-5-semialdehyde,-4.13,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_42_Glutamate-5-semialdehyde/rank10_confidence-4.13.sdf
B1_7_glutaraldehyde,-4.14,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_7_glutaraldehyde/rank10_confidence-4.14.sdf
"B1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-4.15,/root/miniproject/DiffDock/proteinPDB/B1.pdb,"/root/miniproject/results_batch/B1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal/rank10_confidence-4.15.sdf"
B5_29_Salicylaldehyde,-4.16,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_29_Salicylaldehyde/rank10_confidence-4.16.sdf
B1_20_Citral,-4.16,/root/miniproject/DiffDock/proteinPDB/B1.pdb,/root/miniproject/results_batch/B1_20_Citral/rank10_confidence-4.16.sdf
B4_57_S-3-oxopropylglutathione,-4.17,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_57_S-3-oxopropylglutathione/rank10_confidence-4.17.sdf
B4_4_malonaldehyde,-4.17,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_4_malonaldehyde/rank10_confidence-4.17.sdf
B7_33_11-cis-Retinol,-4.17,/root/miniproject/DiffDock/proteinPDB/B7.pdb,/root/miniproject/results_batch/B7_33_11-cis-Retinol/rank10_confidence-4.17.sdf
B3_60_S-Formylglutathione,-4.19,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_60_S-Formylglutathione/rank10_confidence-4.19.sdf
B5_41_Indole-3-acetaldehyde,-4.21,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_41_Indole-3-acetaldehyde/rank10_confidence-4.21.sdf
B3_32_9-cis-Retinal,-4.23,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_32_9-cis-Retinal/rank10_confidence-4.23.sdf
B4_50_10-formyltetrahydrofolate,-4.23,/root/miniproject/DiffDock/proteinPDB/B4.pdb,/root/miniproject/results_batch/B4_50_10-formyltetrahydrofolate/rank10_confidence-4.23.sdf
B3_59_4-Hydroxynonenal_glutathione,-4.23,/root/miniproject/DiffDock/proteinPDB/B3.pdb,/root/miniproject/results_batch/B3_59_4-Hydroxynonenal_glutathione/rank10_confidence-4.23.sdf
B5_25_hexadecanal,-4.23,/root/miniproject/DiffDock/proteinPDB/B5.pdb,/root/miniproject/results_batch/B5_25_hexadecanal/rank10_confidence-4.23.sdf
